Time	Charge	Current	CapacitorEnergy	InductorEnergy	TotalEnergy	DissipatedPower
0.105998093196648	0.0100413722280437	0.00140989240363883	0.0504145781110636	9.93898294919233e-08	0.0504146775008931	1.98779658983847e-05
0.108275568875919	0.0100432429540877	0.000256197216831522	0.0504333645174158	3.2818506956109e-09	0.0504333677992664	6.56370139122179e-07
0.11055304455519	0.0100427383886025	-0.000674075681372377	0.0504282971709557	2.27189012108817e-08	0.0504283198898569	4.54378024217635e-06
0.112399837594903	0.010040919232969	-0.00126652410689041	0.0504100295215035	8.0204165666727e-08	0.0504101097256692	1.60408331333454e-05
0.114246630634616	0.0100381373491969	-0.00171983767409377	0.0503821007206713	1.47892081261614e-07	0.0503822486127525	2.95784162523228e-05
0.116093423674329	0.0100346470845144	-0.00204368107607866	0.0503470710553768	2.08831617036101e-07	0.0503472798869939	4.17663234072201e-05
0.117940216714043	0.0100306702626363	-0.00224946164875372	0.0503071729588677	2.53003885460691e-07	0.0503074259627531	5.06007770921382e-05
0.119787009753756	0.010026405421598	-0.00235020031700005	0.0502644028391252	2.76172076501357e-07	0.0502646790112017	5.52344153002714e-05
0.121633802793469	0.0100220402506253	-0.00236105786627832	0.050220645392577	2.78729712395737e-07	0.0502209241222894	5.57459424791474e-05
0.123480595833182	0.0100177303427741	-0.00229720968239911	0.0501774606102688	2.63858616245411e-07	0.050177724468885	5.27717232490823e-05
0.125327388872895	0.0100135972046887	-0.00217283285373715	0.0501360644888749	2.36060130513977e-07	0.0501363005490054	4.72120261027954e-05
0.127215392002103	0.0100096537513125	-0.00199723273419618	0.0500965841105825	1.99446929727238e-07	0.0500967835575123	3.98893859454477e-05
0.12910339513131	0.010006076075514	-0.00178721776744685	0.0500607792144873	1.59707367413886e-07	0.0500609389218547	3.19414734827772e-05
0.130991398260518	0.0100029180173792	-0.00155580710985887	0.050029184431205	1.21026788154371e-07	0.0500293054579931	2.42053576308742e-05
0.132879401389725	0.0100002090960236	-0.00131387150002361	0.0500020909820968	8.63129159287142e-08	0.0500021772950127	1.72625831857428e-05
0.134992147932336	0.00999772281483806	-0.00104202950669206	0.0499772307411668	5.42912746408452e-08	0.0499772850324414	1.0858254928169e-05
0.137104894474947	0.0099958009042051	-0.000780215986332916	0.0499580178582537	3.04368492664722e-08	0.049958048295103	6.08736985329445e-06
